日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-06-28,301295,42.0,44.92,49.0,41.64,120177,552701097.0,19.68,20.11,7.52,70.4
2023-06-29,301295,43.0,41.15,44.87,40.17,91508,383806946.0,10.46,-8.39,-3.77,53.61
2023-06-30,301295,38.5,38.33,39.39,38.03,77845,300193089.0,3.3,-6.85,-2.82,45.6
2023-07-03,301295,38.02,38.18,38.8,37.52,49556,188621925.0,3.34,-0.39,-0.15,29.03
2023-07-04,301295,37.81,38.27,38.5,37.62,42231,161150211.0,2.3,0.24,0.09,24.74
2023-07-05,301295,37.99,38.73,38.9,37.27,60889,231923865.0,4.26,1.2,0.46,35.67
2023-07-06,301295,38.33,39.09,39.73,37.61,61836,238466401.0,5.47,0.93,0.36,36.22
2023-07-07,301295,38.6,37.5,38.83,37.48,44686,170091266.0,3.45,-4.07,-1.59,26.18
2023-07-10,301295,37.08,37.5,37.91,37.0,24721,92703762.0,2.43,0.0,0.0,14.48
2023-07-11,301295,37.73,37.94,37.94,37.33,23441,88247308.0,1.63,1.17,0.44,13.73
2023-07-12,301295,37.84,38.57,38.91,37.57,42012,161048009.0,3.53,1.66,0.63,24.61
2023-07-13,301295,39.0,40.9,44.2,38.24,80114,325015139.0,15.45,6.04,2.33,46.93
2023-07-14,301295,40.5,39.87,41.12,39.5,53873,216121867.0,3.96,-2.52,-1.03,31.56
2023-07-17,301295,39.56,40.02,41.06,39.54,42562,171484296.0,3.81,0.38,0.15,24.93
2023-07-18,301295,39.5,38.53,39.5,38.19,35093,135622597.0,3.27,-3.72,-1.49,20.56
2023-07-19,301295,38.3,38.89,39.19,38.28,22847,88546237.0,2.36,0.93,0.36,13.38
2023-07-20,301295,38.71,38.31,39.52,38.14,28430,110534059.0,3.55,-1.49,-0.58,16.65
2023-07-21,301295,38.11,38.1,38.85,37.8,21890,83919126.0,2.74,-0.55,-0.21,12.82
2023-07-24,301295,38.18,37.27,38.2,36.46,24576,91314840.0,4.57,-2.18,-0.83,14.4
2023-07-25,301295,37.42,37.93,38.09,37.22,16878,63541094.0,2.33,1.77,0.66,9.89
2023-07-26,301295,37.88,37.16,37.88,37.07,17177,64192425.0,2.14,-2.03,-0.77,10.06
2023-07-27,301295,37.55,37.28,37.82,37.2,14742,55229047.0,1.67,0.32,0.12,8.64
2023-07-28,301295,37.06,38.81,40.74,36.01,58967,227188504.0,12.69,4.1,1.53,34.54
2023-07-31,301295,38.0,37.68,38.73,37.3,40651,154224194.0,3.68,-2.91,-1.13,23.81
2023-08-01,301295,37.35,37.07,37.65,36.83,18881,70018363.0,2.18,-1.62,-0.61,11.06
2023-08-02,301295,37.0,37.18,37.36,36.78,14248,52894370.0,1.56,0.3,0.11,8.35
2023-08-03,301295,37.01,37.3,37.48,36.86,17197,64091282.0,1.67,0.32,0.12,10.07
2023-08-04,301295,37.2,37.62,37.68,36.93,22818,85066657.0,2.01,0.86,0.32,13.37
2023-08-07,301295,37.51,38.07,38.2,36.5,25691,96740218.0,4.52,1.2,0.45,15.05
2023-08-08,301295,38.3,38.84,38.94,37.88,32963,126943056.0,2.78,2.02,0.77,19.31
2023-08-09,301295,38.3,40.15,40.88,38.08,50265,197819827.0,7.21,3.37,1.31,29.45
2023-08-10,301295,39.71,39.22,42.3,38.96,61776,248142359.0,8.32,-2.32,-0.93,36.19
2023-08-11,301295,39.21,39.38,39.97,38.88,40374,159066344.0,2.78,0.41,0.16,23.65
2023-08-14,301295,38.33,40.22,40.36,38.0,42043,166643748.0,5.99,2.13,0.84,24.63
2023-08-15,301295,40.01,40.93,41.13,39.15,50376,203306038.0,4.92,1.77,0.71,29.51
2023-08-16,301295,40.27,39.61,40.68,39.15,32466,129359950.0,3.74,-3.23,-1.32,19.02
2023-08-17,301295,39.8,40.45,40.45,38.5,30871,122140138.0,4.92,2.12,0.84,18.08
2023-08-18,301295,40.35,39.68,42.18,39.62,48347,197655213.0,6.33,-1.9,-0.77,28.32
2023-08-21,301295,39.7,40.87,41.1,39.31,37545,152061700.0,4.51,3.0,1.19,21.99
2023-08-22,301295,39.5,37.5,39.5,37.06,48960,187084457.0,5.97,-8.25,-3.37,28.68
2023-08-23,301295,37.37,37.5,38.48,36.56,26381,99003487.0,5.12,0.0,0.0,15.45
2023-08-24,301295,37.3,39.69,45.0,36.01,70289,283436749.0,23.97,5.84,2.19,41.18
2023-08-25,301295,37.8,37.28,39.4,36.89,44315,167814107.0,6.32,-6.07,-2.41,25.96
2023-08-28,301295,39.48,37.0,39.98,37.0,34587,132001842.0,7.99,-0.75,-0.28,20.26
2023-08-29,301295,36.3,39.74,39.88,36.2,48556,188333744.0,9.95,7.41,2.74,28.44
2023-08-30,301295,39.58,40.09,40.68,39.26,37306,149193955.0,3.57,0.88,0.35,21.85
2023-08-31,301295,39.95,40.09,40.49,39.42,22720,90837789.0,2.67,0.0,0.0,13.31
2023-09-01,301295,40.03,39.5,40.18,38.92,21219,83634953.0,3.14,-1.47,-0.59,12.43
2023-09-04,301295,39.6,38.86,39.6,38.37,21069,81606696.0,3.11,-1.62,-0.64,12.34
2023-09-05,301295,38.77,39.85,39.88,38.33,36220,142083166.0,3.99,2.55,0.99,21.22
2023-09-06,301295,39.01,39.95,40.0,39.01,28874,114282270.0,2.48,0.25,0.1,16.91
2023-09-07,301295,39.65,37.88,39.7,37.88,31023,119667976.0,4.56,-5.18,-2.07,18.17
2023-09-08,301295,37.7,38.2,38.45,37.7,13244,50517133.0,1.98,0.84,0.32,7.76
2023-09-11,301295,38.06,38.6,38.65,37.63,14439,55281856.0,2.67,1.05,0.4,8.46
2023-09-12,301295,38.55,37.91,38.55,37.77,15013,57213174.0,2.02,-1.79,-0.69,8.79
2023-09-13,301295,37.88,37.6,38.0,36.96,12054,45061622.0,2.74,-0.82,-0.31,7.06
2023-09-14,301295,37.58,37.15,37.8,36.72,9580,35555166.0,2.87,-1.2,-0.45,5.61
2023-09-15,301295,37.16,36.81,37.38,36.76,8093,29927613.0,1.67,-0.92,-0.34,4.74
2023-09-18,301295,36.5,37.23,37.72,36.5,8234,30740825.0,3.31,1.14,0.42,4.82
2023-09-19,301295,37.18,36.71,37.36,36.68,6846,25248829.0,1.83,-1.4,-0.52,4.01
2023-09-20,301295,36.74,36.86,37.2,36.63,5932,21881226.0,1.55,0.41,0.15,3.48
2023-09-21,301295,36.66,36.74,37.18,36.65,5425,19991001.0,1.44,-0.33,-0.12,3.18
2023-09-22,301295,36.55,37.33,37.4,36.39,11530,42745024.0,2.75,1.61,0.59,6.75
2023-09-25,301295,37.3,36.82,37.32,36.72,8685,32047905.0,1.61,-1.37,-0.51,5.09
2023-09-26,301295,36.71,36.82,37.08,36.42,7767,28549644.0,1.79,0.0,0.0,4.55
2023-09-27,301295,36.75,37.07,37.65,36.56,13281,49445433.0,2.96,0.68,0.25,7.78
2023-09-28,301295,37.08,37.4,37.65,37.08,9916,37095696.0,1.54,0.89,0.33,5.81
2023-10-09,301295,37.41,37.64,37.8,36.93,12085,45234932.0,2.33,0.64,0.24,7.08
2023-10-10,301295,37.45,37.05,37.75,36.9,9194,34220596.0,2.26,-1.57,-0.59,5.39
2023-10-11,301295,37.05,37.1,37.39,36.74,8735,32389555.0,1.75,0.13,0.05,5.12
2023-10-12,301295,37.25,36.88,37.25,36.67,9743,35937755.0,1.56,-0.59,-0.22,5.71
2023-10-13,301295,36.86,35.72,36.86,35.61,16911,61101375.0,3.39,-3.15,-1.16,9.91
2023-10-16,301295,35.72,34.91,35.83,34.73,10034,35147390.0,3.08,-2.27,-0.81,5.88
2023-10-17,301295,34.99,34.58,35.18,34.38,7997,27718984.0,2.29,-0.95,-0.33,4.68
2023-10-18,301295,34.35,33.28,34.53,33.2,14543,48854958.0,3.85,-3.76,-1.3,8.52
2023-10-19,301295,33.01,33.17,33.86,32.98,8354,27915640.0,2.64,-0.33,-0.11,4.89
2023-10-20,301295,33.16,33.13,33.88,32.88,7571,25287757.0,3.01,-0.12,-0.04,4.44
2023-10-23,301295,32.98,32.02,33.0,31.81,8656,27848086.0,3.59,-3.35,-1.11,5.07
2023-10-24,301295,32.05,33.14,33.3,31.9,10910,35802229.0,4.37,3.5,1.12,6.39
2023-10-25,301295,33.09,33.42,33.8,32.88,7732,25738823.0,2.78,0.84,0.28,4.53
2023-10-26,301295,32.97,33.85,33.9,32.63,10512,35005390.0,3.8,1.29,0.43,6.16
2023-10-27,301295,33.75,34.23,34.33,33.49,10237,34869983.0,2.48,1.12,0.38,6.0
2023-10-30,301295,33.93,34.13,34.43,33.8,5967,20353238.0,1.84,-0.29,-0.1,3.5
2023-10-31,301295,34.36,33.86,34.36,33.45,7528,25467153.0,2.67,-0.79,-0.27,4.41
2023-11-01,301295,33.85,33.7,34.09,33.6,4639,15682602.0,1.45,-0.47,-0.16,2.72
2023-11-02,301295,33.83,33.22,33.89,33.13,5517,18425020.0,2.26,-1.42,-0.48,3.23
2023-11-03,301295,33.2,33.9,34.2,33.2,7045,23903552.0,3.01,2.05,0.68,4.13
2023-11-06,301295,34.32,34.49,34.49,34.01,7617,26148998.0,1.42,1.74,0.59,4.46
2023-11-07,301295,34.45,34.61,34.75,34.18,8276,28554785.0,1.65,0.35,0.12,4.85
2023-11-08,301295,34.67,34.55,34.75,34.31,6191,21363771.0,1.27,-0.17,-0.06,3.63
2023-11-09,301295,34.53,34.42,34.86,34.3,6293,21726348.0,1.62,-0.38,-0.13,3.69
2023-11-10,301295,34.4,34.62,34.79,34.01,6685,23075924.0,2.27,0.58,0.2,3.92
2023-11-13,301295,34.56,35.1,35.13,34.56,7392,25819057.0,1.65,1.39,0.48,4.33
2023-11-14,301295,34.92,35.31,35.42,34.83,6915,24283232.0,1.68,0.6,0.21,4.05
2023-11-15,301295,35.83,35.78,36.13,35.21,10739,38299688.0,2.61,1.33,0.47,6.29
